config,embedder,method,N,K_target,K_actual,Q,cpm_h,quality_class,self_routing_acc,compression_per_layer,above_limit_frac,purity_mean,purity_min
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,newman,24,2,2,0.4779,,acceptable,1.0,0.5,1.0,0.5,0.5
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,cpm,24,2,2,-0.0053,29.2322,poor,0.9583,0.5,1.0,0.6579,0.3158
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,newman,24,3,3,0.5085,,acceptable,1.0,0.3333,1.0,0.7579,0.6667
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,cpm,24,3,3,-0.0126,22.4265,poor,1.0,0.3333,1.0,0.8333,0.5
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,newman,24,4,4,0.7117,,good,1.0,0.25,1.0,1.0,1.0
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,cpm,24,4,4,-0.0176,18.6937,poor,1.0,0.25,1.0,1.0,1.0
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,newman,24,5,5,0.6951,,acceptable,1.0,0.2,0.6,1.0,1.0
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,cpm,24,5,5,-0.0188,6.7905,poor,1.0,0.2,0.8,1.0,1.0
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,newman,24,6,6,0.6228,,acceptable,1.0,0.1667,0.5,1.0,1.0
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,cpm,24,6,6,-0.0226,4.8774,poor,1.0,0.1667,0.6667,1.0,1.0
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,newman,24,7,7,0.6109,,acceptable,1.0,0.1429,0.2857,1.0,1.0
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,cpm,24,7,7,-0.0258,4.4359,poor,1.0,0.1429,0.5714,1.0,1.0
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,newman,24,8,8,0.5488,,acceptable,1.0,0.125,0.25,1.0,1.0
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,cpm,24,8,8,-0.0264,3.8896,poor,1.0,0.125,0.375,1.0,1.0
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,newman,24,9,9,0.5339,,acceptable,1.0,0.1111,0.1111,1.0,1.0
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,cpm,24,9,9,-0.0279,3.8175,poor,1.0,0.1111,0.2222,1.0,1.0
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,newman,24,10,10,0.466,,acceptable,1.0,0.1,0.1,1.0,1.0
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,cpm,24,10,10,-0.0319,3.272,poor,1.0,0.1,0.1,1.0,1.0
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,newman,24,12,12,0.4834,,acceptable,1.0,0.0833,0.0833,1.0,1.0
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,cpm,24,12,12,-0.0348,1.9377,poor,1.0,0.0833,0.0833,1.0,1.0
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,newman,24,15,15,0.5744,,acceptable,1.0,0.0667,0.0667,1.0,1.0
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,cpm,24,15,15,-0.0378,0.986,poor,1.0,0.0667,0.0,1.0,1.0
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,newman,24,20,20,0.1562,,poor,1.0,0.05,0.0,1.0,1.0
"synthetic-4theme (baseline, clean)",paraphrase-MiniLM-L3-v2,cpm,24,20,20,-0.0406,0.3163,poor,1.0,0.05,0.0,1.0,1.0
same-domain-5theme,paraphrase-MiniLM-L3-v2,newman,30,2,2,0.0446,,poor,1.0,0.5,0.5,0.4161,0.2609
same-domain-5theme,paraphrase-MiniLM-L3-v2,cpm,30,2,2,-0.0022,147.5194,poor,1.0,0.5,0.5,0.6034,0.2069
same-domain-5theme,paraphrase-MiniLM-L3-v2,newman,30,3,3,0.0814,,poor,1.0,0.3333,0.6667,0.4488,0.375
same-domain-5theme,paraphrase-MiniLM-L3-v2,cpm,30,3,3,-0.0044,121.3817,poor,0.9667,0.3333,0.3333,0.7381,0.2143
same-domain-5theme,paraphrase-MiniLM-L3-v2,newman,30,4,4,0.1212,,poor,1.0,0.25,0.5,0.6176,0.375
same-domain-5theme,paraphrase-MiniLM-L3-v2,cpm,30,4,4,-0.0117,55.353,poor,1.0,0.25,0.25,0.75,0.25
same-domain-5theme,paraphrase-MiniLM-L3-v2,newman,30,5,5,0.1319,,poor,1.0,0.2,0.4,0.7456,0.3529
same-domain-5theme,paraphrase-MiniLM-L3-v2,cpm,30,5,5,-0.012,48.1258,poor,1.0,0.2,0.2,0.85,0.25
same-domain-5theme,paraphrase-MiniLM-L3-v2,newman,30,6,6,0.1025,,poor,1.0,0.1667,0.3333,0.7214,0.4
same-domain-5theme,paraphrase-MiniLM-L3-v2,cpm,30,6,6,-0.0137,43.6689,poor,1.0,0.1667,0.1667,0.8768,0.2609
same-domain-5theme,paraphrase-MiniLM-L3-v2,newman,30,7,7,0.1089,,poor,1.0,0.1429,0.2857,0.744,0.3333
same-domain-5theme,paraphrase-MiniLM-L3-v2,cpm,30,7,7,-0.0169,32.2765,poor,0.9667,0.1429,0.1429,0.8503,0.2857
same-domain-5theme,paraphrase-MiniLM-L3-v2,newman,30,8,8,0.105,,poor,1.0,0.125,0.25,0.7946,0.4286
same-domain-5theme,paraphrase-MiniLM-L3-v2,cpm,30,8,8,-0.0171,31.6334,poor,0.9667,0.125,0.125,0.8482,0.2857
same-domain-5theme,paraphrase-MiniLM-L3-v2,newman,30,9,9,0.0863,,poor,1.0,0.1111,0.3333,0.746,0.4286
same-domain-5theme,paraphrase-MiniLM-L3-v2,cpm,30,9,9,-0.0186,28.394,poor,0.9667,0.1111,0.1111,0.8667,0.3
same-domain-5theme,paraphrase-MiniLM-L3-v2,newman,30,10,10,0.0726,,poor,1.0,0.1,0.2,0.7929,0.4286
same-domain-5theme,paraphrase-MiniLM-L3-v2,cpm,30,10,10,-0.0214,16.7725,poor,0.9667,0.1,0.1,0.8278,0.2778
same-domain-5theme,paraphrase-MiniLM-L3-v2,newman,30,12,12,0.1023,,poor,1.0,0.0833,0.25,0.8052,0.4
same-domain-5theme,paraphrase-MiniLM-L3-v2,cpm,30,12,12,-0.0238,14.3013,poor,0.9667,0.0833,0.0833,0.8872,0.3125
same-domain-5theme,paraphrase-MiniLM-L3-v2,newman,30,15,15,0.0547,,poor,1.0,0.0667,0.1333,0.8667,0.5
same-domain-5theme,paraphrase-MiniLM-L3-v2,cpm,30,15,15,-0.0262,8.2854,poor,0.9667,0.0667,0.0667,0.8905,0.3571
same-domain-5theme,paraphrase-MiniLM-L3-v2,newman,30,20,20,0.5333,,acceptable,1.0,0.05,0.1,0.9125,0.5
same-domain-5theme,paraphrase-MiniLM-L3-v2,cpm,30,20,20,-0.0312,1.3613,poor,1.0,0.05,0.05,0.9214,0.4286
same-domain-5theme,paraphrase-multilingual-mpnet-base-v2,newman,30,2,2,0.27,,poor,1.0,0.5,1.0,0.3009,0.2941
same-domain-5theme,paraphrase-multilingual-mpnet-base-v2,cpm,30,2,2,-0.0022,51.8744,poor,0.9667,0.5,0.5,0.6034,0.2069
same-domain-5theme,paraphrase-multilingual-mpnet-base-v2,newman,30,3,3,0.2678,,poor,1.0,0.3333,0.6667,0.5641,0.3077
same-domain-5theme,paraphrase-multilingual-mpnet-base-v2,cpm,30,3,3,-0.0082,37.7798,poor,1.0,0.3333,0.3333,0.7436,0.2308
same-domain-5theme,paraphrase-multilingual-mpnet-base-v2,newman,30,4,4,0.2463,,poor,1.0,0.25,0.5,0.5083,0.3
same-domain-5theme,paraphrase-multilingual-mpnet-base-v2,cpm,30,4,4,-0.0084,31.8932,poor,1.0,0.25,0.25,0.8077,0.2308
same-domain-5theme,paraphrase-multilingual-mpnet-base-v2,newman,30,5,5,0.2052,,poor,1.0,0.2,0.2,0.6071,0.2857
same-domain-5theme,paraphrase-multilingual-mpnet-base-v2,cpm,30,5,5,-0.0103,20.5889,poor,1.0,0.2,0.2,0.848,0.24
same-domain-5theme,paraphrase-multilingual-mpnet-base-v2,newman,30,6,6,0.2365,,poor,1.0,0.1667,0.5,0.6262,0.4
same-domain-5theme,paraphrase-multilingual-mpnet-base-v2,cpm,30,6,6,-0.0138,18.717,poor,0.9667,0.1667,0.1667,0.8768,0.2609
same-domain-5theme,paraphrase-multilingual-mpnet-base-v2,newman,30,7,7,0.2934,,poor,1.0,0.1429,0.2857,0.6,0.4
same-domain-5theme,paraphrase-multilingual-mpnet-base-v2,cpm,30,7,7,-0.0224,14.2481,poor,1.0,0.1429,0.2857,0.8202,0.3125
same-domain-5theme,paraphrase-multilingual-mpnet-base-v2,newman,30,8,8,0.2931,,poor,1.0,0.125,0.25,0.6042,0.25
same-domain-5theme,paraphrase-multilingual-mpnet-base-v2,cpm,30,8,8,-0.026,9.9286,poor,1.0,0.125,0.25,0.8093,0.3636
same-domain-5theme,paraphrase-multilingual-mpnet-base-v2,newman,30,9,9,0.2564,,poor,1.0,0.1111,0.2222,0.7651,0.2857
same-domain-5theme,paraphrase-multilingual-mpnet-base-v2,cpm,30,9,9,-0.0273,7.1435,poor,1.0,0.1111,0.2222,0.8182,0.3636
same-domain-5theme,paraphrase-multilingual-mpnet-base-v2,newman,30,10,10,0.1451,,poor,1.0,0.1,0.1,0.6583,0.25
same-domain-5theme,paraphrase-multilingual-mpnet-base-v2,cpm,30,10,10,-0.0275,6.9484,poor,1.0,0.1,0.2,0.8197,0.3333
same-domain-5theme,paraphrase-multilingual-mpnet-base-v2,newman,30,12,12,0.2728,,poor,1.0,0.0833,0.0833,0.7927,0.25
same-domain-5theme,paraphrase-multilingual-mpnet-base-v2,cpm,30,12,12,-0.0289,4.843,poor,1.0,0.0833,0.0833,0.8528,0.3333
