per_theme,N,K,method,Q,above_limit_frac
2,8,2,newman,-0.023,0.5
2,8,2,cpm,-0.0312,0.5
2,8,3,newman,0.4028,0.3333
2,8,3,cpm,-0.0848,0.6667
2,8,4,newman,0.26,0.25
2,8,4,cpm,-0.1027,0.25
2,8,5,newman,0.375,0.2
2,8,5,cpm,-0.1071,0.2
2,8,6,newman,-0.125,0.0
2,8,6,cpm,-0.1161,0.0
2,8,7,newman,0.0,0.1429
2,8,7,cpm,-0.1205,0.0
3,12,2,newman,0.1639,1.0
3,12,2,cpm,-0.0253,0.5
3,12,3,newman,0.38,0.6667
3,12,3,cpm,-0.0568,0.6667
3,12,4,newman,0.5494,0.25
3,12,4,cpm,-0.0644,0.25
3,12,5,newman,0.6328,0.2
3,12,5,cpm,-0.072,0.0
3,12,6,newman,0.7778,0.1667
3,12,6,cpm,-0.0745,0.0
3,12,7,newman,0.58,0.0
3,12,7,cpm,-0.077,0.0
3,12,8,newman,0.75,0.0
3,12,8,cpm,-0.0783,0.0
3,12,9,newman,0.6667,0.0
3,12,10,newman,0.5,0.0
3,12,10,cpm,-0.0808,0.0
3,12,11,newman,0.0,0.0909
3,12,11,cpm,-0.0821,0.0
4,16,2,newman,0.1366,1.0
4,16,2,cpm,-0.0078,0.5
4,16,3,newman,0.4638,0.6667
4,16,3,cpm,-0.0307,0.3333
4,16,4,newman,0.5332,0.5
4,16,4,cpm,-0.0453,0.5
4,16,5,newman,0.4862,0.6
4,16,5,cpm,-0.0484,0.6
4,16,6,newman,0.4863,0.3333
4,16,6,cpm,-0.0526,0.5
4,16,7,newman,0.5917,0.2857
4,16,7,cpm,-0.0542,0.2857
4,16,8,newman,0.5864,0.125
4,16,8,cpm,-0.0563,0.125
4,16,9,newman,0.4688,0.1111
4,16,9,cpm,-0.0578,0.0
4,16,10,newman,0.625,0.0
4,16,10,cpm,-0.0589,0.0
4,16,11,newman,0.72,0.0909
4,16,11,cpm,-0.0594,0.0
4,16,12,newman,0.625,0.0833
4,16,13,newman,0.4444,0.0769
4,16,13,cpm,-0.0604,0.0
4,16,14,newman,-0.125,0.0
4,16,14,cpm,-0.0615,0.0
4,16,15,newman,0.0,0.0667
4,16,15,cpm,-0.062,0.0
5,20,2,newman,0.3926,1.0
5,20,2,cpm,-0.0045,0.5
5,20,3,newman,0.6248,1.0
5,20,3,cpm,-0.0317,0.6667
5,20,4,newman,0.6189,0.75
5,20,4,cpm,-0.0362,0.5
5,20,5,newman,0.6655,0.6
5,20,5,cpm,-0.0397,0.4
5,20,6,newman,0.7163,0.3333
5,20,6,cpm,-0.0426,0.1667
5,20,7,newman,0.6298,0.2857
5,20,7,cpm,-0.043,0.1429
5,20,8,newman,0.5306,0.125
5,20,8,cpm,-0.0442,0.125
5,20,9,newman,0.4408,0.0
5,20,9,cpm,-0.0447,0.1111
5,20,10,newman,0.6033,0.1
5,20,10,cpm,-0.0457,0.0
5,20,11,newman,0.43,0.0
5,20,11,cpm,-0.0461,0.0
5,20,12,newman,0.4753,0.0
5,20,13,newman,0.4297,0.0
5,20,13,cpm,-0.0474,0.0
5,20,14,newman,0.3367,0.0
5,20,14,cpm,-0.0476,0.0
5,20,15,newman,0.2083,0.0
5,20,15,cpm,-0.0483,0.0
6,24,2,newman,0.4049,1.0
6,24,2,cpm,-0.0032,0.5
6,24,3,newman,0.5417,1.0
6,24,3,cpm,-0.027,1.0
6,24,4,newman,0.6139,0.75
6,24,4,cpm,-0.0296,0.75
6,24,5,newman,0.5244,0.4
6,24,5,cpm,-0.0322,0.6
6,24,6,newman,0.5245,0.3333
6,24,6,cpm,-0.0329,0.3333
6,24,7,newman,0.6283,0.2857
6,24,7,cpm,-0.0354,0.4286
6,24,8,newman,0.638,0.125
6,24,8,cpm,-0.0362,0.25
6,24,9,newman,0.6462,0.1111
6,24,9,cpm,-0.0365,0.2222
6,24,10,newman,0.5734,0.1
6,24,10,cpm,-0.0376,0.1
6,24,11,newman,0.591,0.0909
6,24,12,newman,0.4325,0.0833
6,24,12,cpm,-0.0383,0.0833
6,24,13,newman,0.5156,0.0769
6,24,13,cpm,-0.039,0.0769
6,24,14,newman,0.4872,0.0714
6,24,14,cpm,-0.0392,0.0714
6,24,15,newman,0.2899,0.0667
6,24,15,cpm,-0.0393,0.0667
8,32,2,newman,0.2766,1.0
8,32,2,cpm,-0.0018,0.5
8,32,3,newman,0.5275,1.0
8,32,3,cpm,-0.0037,0.3333
8,32,4,newman,0.5499,0.75
8,32,4,cpm,-0.0208,0.75
8,32,5,newman,0.5155,0.6
8,32,5,cpm,-0.0217,0.6
8,32,6,newman,0.5153,0.3333
8,32,6,cpm,-0.0241,0.5
8,32,7,newman,0.4856,0.4286
8,32,7,cpm,-0.0247,0.4286
8,32,8,newman,0.4185,0.375
8,32,8,cpm,-0.0269,0.25
8,32,9,newman,0.5458,0.3333
8,32,9,cpm,-0.0273,0.2222
8,32,10,newman,0.4028,0.2
8,32,10,cpm,-0.0276,0.2
8,32,11,newman,0.5395,0.1818
8,32,11,cpm,-0.0278,0.1818
8,32,12,newman,0.5374,0.25
8,32,12,cpm,-0.0283,0.0833
8,32,13,newman,0.4507,0.1538
8,32,13,cpm,-0.0286,0.0769
8,32,14,newman,0.4448,0.1429
8,32,14,cpm,-0.0286,0.0714
8,32,15,newman,0.3892,0.1333
8,32,15,cpm,-0.0291,0.0667
10,40,2,newman,0.3034,1.0
10,40,2,cpm,-0.0012,0.5
10,40,3,newman,0.5555,1.0
10,40,3,cpm,-0.0024,0.3333
10,40,4,newman,0.5667,0.75
10,40,4,cpm,-0.0057,0.25
10,40,5,newman,0.5517,0.6
10,40,5,cpm,-0.0175,0.6
10,40,6,newman,0.61,0.5
10,40,6,cpm,-0.0194,0.5
10,40,7,newman,0.5927,0.4286
10,40,7,cpm,-0.0201,0.4286
10,40,8,newman,0.5532,0.375
10,40,8,cpm,-0.0213,0.375
10,40,9,newman,0.6008,0.3333
10,40,9,cpm,-0.0211,0.3333
10,40,10,newman,0.5435,0.2
10,40,11,newman,0.6009,0.2727
10,40,11,cpm,-0.0221,0.1818
10,40,12,newman,0.3431,0.1667
10,40,12,cpm,-0.0222,0.1667
10,40,13,newman,0.3526,0.0769
10,40,13,cpm,-0.0224,0.1538
10,40,14,newman,0.3659,0.0714
10,40,14,cpm,-0.0225,0.1429
10,40,15,newman,0.3167,0.0667
10,40,15,cpm,-0.0226,0.1333
